"Keyword","Trends","Impressions"
"brown safe","[1]","1"
"best eco-friendly products for home","[2,4]","6"
"green products","[1,3,3,3,3,2,3,2,1,2,1,2,1,7]","34"
"what are sustainable products examples","[19,13,6]","38"
"what are some sustainable products","[14,15,11]","40"
"list of sustainable food products","[60,42,58]","160"
"sustainable products","[10,14,13,8,11,21,2,13,11,8,15,12,14,6,4,4,11,5,7,7,9,13,12,14]","244"
"eco-friendly products and practices","[22,27,26,24,23,53,38,48,46,52,46,68,54,64,49]","640"
"eco-friendly products","[21,15,19,13,7,18,18,50,51,10,8,6,5,12,9,12,29,72,97,66,64,57,23,53,106,79]","920"
"sustainable","[213,298,240,268,266,240,258,269,245,289,272,318,293,336,250,435,376,381,438,461,413,332,437,1540,695,664]","10227"
"living","[558,670,619,604,735,784,546,619,648,673,882,723,773,750,701,772,952,826,972,877,936,877,692,695,761,599]","19244"
"brown","[736,942,865,884,998,959,1039,1004,1135,1065,1138,1120,1194,1260,1172,1291,1455,1434,1712,1504,1562,1343,1247,1112,1249,1235]","30655"
